gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000009413,557.2256146,-0.073445416,0.336262616,-0.218416836,0.827104349,0.957153412
ENSG00000009694,2.617363286,-0.033794083,0.596142524,-0.056687926,0.954793792,NA
ENSG00000009709,0.170370412,0.071942834,0.332044137,0.216666478,0.828468274,NA
ENSG00000009724,34.76698081,0.326413961,0.462270477,0.706110334,0.480119526,0.842721292
ENSG00000009765,3.669336169,-0.537156647,0.591357872,-0.90834446,0.363696259,NA
ENSG00000009780,346.0625553,-0.153714067,0.244196259,-0.629469375,0.529041812,0.864295065
ENSG00000009790,220.8919803,0.528327928,0.321830162,1.641635838,0.100665496,0.456998864
ENSG00000009830,741.8291965,-0.131322167,0.229317603,-0.57266501,0.566871533,0.880163955
ENSG00000009844,2301.702624,-0.142444032,0.210864095,-0.675525308,0.499342078,0.852174328
ENSG00000009950,34.44834086,-0.141088385,0.550619393,-0.256235772,0.797768789,0.945866333
ENSG00000009954,3410.197659,0.146500971,0.219117672,0.668594958,0.50375389,0.854579427
ENSG00000010017,2320.504638,0.168112834,0.233496595,0.719979808,0.471537428,0.839885613
ENSG00000010030,8.264965421,-0.18441543,0.585480663,-0.314981247,0.752775892,0.937768962
ENSG00000010072,705.3897154,-0.088323326,0.237623664,-0.37169415,0.710120581,0.927956515
ENSG00000010165,2506.608198,-0.271777521,0.249749994,-1.088198307,0.276507572,0.705186849
ENSG00000010219,339.6546242,0.187202151,0.254000634,0.737014503,0.46111353,0.833707598
ENSG00000010244,3037.949574,0.046079902,0.209647506,0.219797042,0.826029223,0.956910075
ENSG00000010256,8178.767462,0.228606493,0.236187738,0.967901618,0.333093506,0.748858309
ENSG00000010270,795.9195336,0.074329557,0.26409784,0.281447045,0.778367539,0.943320079
ENSG00000010278,15330.99891,-0.087534212,0.226554173,-0.386372101,0.699221109,0.924856549
ENSG00000010282,0.378062323,-0.162847827,0.332044137,-0.490440303,0.623822363,NA
ENSG00000010292,2496.711264,1.377846263,0.296772586,4.642767986,3.44E-06,0.000223744
ENSG00000010295,34.10319256,0.32626941,0.597064687,0.546455714,0.584752722,0.884613384
ENSG00000010310,88.89535689,-0.855063221,0.471060175,-1.815188945,0.069494878,0.375694894
ENSG00000010318,295.7264847,0.235693286,0.370376261,0.636361752,0.524540664,0.863433016
ENSG00000010319,35.08827096,2.402248739,0.542969894,4.424276128,9.68E-06,0.000533849
ENSG00000010322,3057.523493,-0.207097651,0.227306274,-0.911095183,0.362245224,0.769454305
ENSG00000010327,2.362705343,0.545799839,0.570013512,0.95752088,0.338304413,NA
ENSG00000010361,172.0539929,0.31872641,0.361031119,0.882822541,0.377332159,0.780371806
ENSG00000010379,9.297851706,-0.692286045,0.573940997,-1.206197239,0.227741448,0.653469593
ENSG00000010404,3155.944402,-0.417800765,0.276562586,-1.510691564,0.130867053,0.51887528
ENSG00000010438,1843.315753,1.823014788,0.449766331,4.053248677,5.05E-05,0.002048844
ENSG00000010539,197.5205243,-0.196254023,0.273518814,-0.717515625,0.473055999,0.840219681
ENSG00000010610,1.930235081,-0.003828917,0.582629756,-0.006571784,0.994756513,NA
